nestID,day1,end.int,expos,middate,al,xstage,survive,trials,year,district,exclosure,crab,inidate.centered,tmax,prcp,wsf2,year.f,clutch
08PIPLBI06,143,144,1,143.5,0.5,lay,1,1,2008,BI,0,0,1,24.4,0,6.3,2008,4
08PIPLBI06,144,145,1,144.5,1.5,lay,1,1,2008,BI,0,0,1,21.1,0,5.8,2008,4
08PIPLBI06,145,146,1,145.5,2.5,lay,1,1,2008,BI,0,0,1,20.6,1.8,5.8,2008,4
08PIPLBI06,146,147,1,146.5,3.5,lay,1,1,2008,BI,0,0,1,23.3,0,5.4,2008,4
08PIPLBI06,147,149,2,148,5,lay,1,1,2008,BI,0,0,1,23.9,0,6.7,2008,4
08PIPLBI06,149,150,1,149.5,6.5,incub,1,1,2008,BI,0,0,1,22.8,4.6,8,2008,4
08PIPLBI06,150,152,2,151,8,incub,1,1,2008,BI,1,0,1,21.1,0,6.3,2008,4
08PIPLBI06,152,153,1,152.5,9.5,incub,1,1,2008,BI,1,0,1,25,0,8.9,2008,4
08PIPLBI06,153,154,1,153.5,10.5,incub,1,1,2008,BI,1,0,1,27.2,0,9.8,2008,4
08PIPLBI06,154,155,1,154.5,11.5,incub,1,1,2008,BI,1,0,1,23.3,0,6.3,2008,4
08PIPLBI06,155,156,1,155.5,12.5,incub,1,1,2008,BI,1,0,1,26.1,0,5.4,2008,4
08PIPLBI06,156,158,2,157,14,incub,1,1,2008,BI,1,0,1,26.7,0,8,2008,4
08PIPLBI06,158,159,1,158.5,15.5,incub,1,1,2008,BI,1,0,1,25.6,0,5.8,2008,4
08PIPLBI06,159,161,2,160,17,incub,1,1,2008,BI,1,0,1,31.1,0,5.4,2008,4
08PIPLBI06,161,162,1,161.5,18.5,incub,1,1,2008,BI,1,0,1,29.4,4.3,5.8,2008,4
08PIPLBI06,162,163,1,162.5,19.5,incub,1,1,2008,BI,1,0,1,28.3,0,7.2,2008,4
08PIPLBI06,163,164,1,163.5,20.5,incub,1,1,2008,BI,1,0,1,28.3,0,5.8,2008,4
08PIPLBI06,164,165,1,164.5,21.5,incub,1,1,2008,BI,1,0,1,28.3,0,6.3,2008,4
08PIPLBI06,165,166,1,165.5,22.5,incub,1,1,2008,BI,1,0,1,28.9,0,5.4,2008,4
08PIPLBI06,166,167,1,166.5,23.5,incub,1,1,2008,BI,1,0,1,27.8,0,6.3,2008,4
08PIPLBI06,167,168,1,167.5,24.5,incub,1,1,2008,BI,1,0,1,27.8,0,5.8,2008,4
08PIPLBI06,168,169,1,168.5,25.5,incub,1,1,2008,BI,1,0,1,28.3,0,8.9,2008,4
08PIPLBI06,169,170,1,169.5,26.5,incub,1,1,2008,BI,1,0,1,29.4,1.3,8.9,2008,4
08PIPLBI06,170,171,1,170.5,27.5,incub,1,1,2008,BI,1,0,1,25.6,0,6.7,2008,4
08PIPLBI06,171,172,1,171.5,28.5,incub,1,1,2008,BI,1,0,1,27.8,0,6.3,2008,4
08PIPLBI06,172,173,1,172.5,29.5,incub,1,1,2008,BI,1,0,1,27.8,0.3,8,2008,4
08PIPLBI06,173,174,1,173.5,30.5,incub,1,1,2008,BI,1,0,1,27.2,0.8,8.9,2008,4
08PIPLBI06,174,175,1,174.5,31.5,incub,1,1,2008,BI,1,0,1,29.4,0,6.7,2008,4
08PIPLBI06,175,176,1,175.5,32.5,incub,1,1,2008,BI,1,0,1,25.6,8.1,8.9,2008,4
08PIPLBI06,176,177,1,176.5,33.5,incub,1,1,2008,BI,1,0,1,29.4,0,6.3,2008,4
08PIPLBI06,177,178,1,177.5,34.5,incub,1,1,2008,BI,1,0,1,29.4,0,6.3,2008,4
08PIPLBI06,178,179,1,178.5,35.5,incub,1,1,2008,BI,1,0,1,30,0,8.9,2008,4
08PIPLBI06,179,180,1,179.5,36.5,incub,1,1,2008,BI,1,0,1,30,0,8,2008,4
08PIPLBI06,180,181,1,180.5,37.5,incub,1,1,2008,BI,1,0,1,30,0,8,2008,4
08PIPLBI06,181,182,1,181.5,38.5,incub,1,1,2008,BI,1,0,1,30,0,13,2008,4
08PIPLBI06,182,183,1,182.5,39.5,incub,1,1,2008,BI,1,0,1,28.9,0.3,10.3,2008,4
08PIPLBI06,183,184,1,183.5,40.5,incub,1,1,2008,BI,1,0,1,28.9,0,8.9,2008,4
08PIPLBI06,184,185,1,184.5,41.5,incub,1,1,2008,BI,1,0,1,30.6,0,7.2,2008,4
08PIPLBI06,185,186,1,185.5,42.5,incub,1,1,2008,BI,1,0,1,30,0,6.7,2008,4
08PIPLBI06,186,187,1,186.5,43.5,incub,1,1,2008,BI,1,1,1,29.4,0,7.6,2008,4
08PIPLBI06,187,188,1,187.5,44.5,incub,1,1,2008,BI,1,1,1,30,1,9.4,2008,4
08PIPLBI06,188,189,1,188.5,45.5,incub,1,1,2008,BI,1,0,1,28.3,19.1,9.8,2008,4
08PIPLBI06,189,190,1,189.5,46.5,incub,1,1,2008,BI,1,1,1,29.4,0,8,2008,4
08PIPLBI06,190,191,1,190.5,47.5,incub,1,1,2008,BI,1,0,1,29.4,0,8,2008,4
08PIPLBI06,191,192,1,191.5,48.5,incub,1,1,2008,BI,1,0,1,26.7,7.1,8.9,2008,4
08PIPLBI06,192,193,1,192.5,49.5,incub,1,1,2008,BI,1,0,1,28.9,0,6.3,2008,4
08PIPLBI06,193,194,1,193.5,50.5,incub,1,1,2008,BI,1,0,1,27.8,21.1,4.5,2008,4
08PIPLBI06,194,195,1,194.5,51.5,incub,1,1,2008,BI,1,0,1,27.8,0,7.2,2008,4
08PIPLBI06,195,196,1,195.5,52.5,incub,1,1,2008,BI,1,0,1,28.9,0,5.8,2008,4
08PIPLBI06,196,197,1,196.5,53.5,incub,1,1,2008,BI,1,0,1,29.4,0,5.8,2008,4
08PIPLBI06,197,198,1,197.5,54.5,incub,1,1,2008,BI,1,0,1,30,3.3,7.6,2008,4
08PIPLBI06,198,199,1,198.5,55.5,incub,1,1,2008,BI,1,0,1,29.4,0,6.7,2008,4
08PIPLBI06,199,200,1,199.5,56.5,incub,1,1,2008,BI,1,0,1,29.4,0,7.2,2008,4
08PIPLBI06,200,201,1,200.5,57.5,incub,0,1,2008,BI,1,0,1,32.2,0,5.4,2008,4
08PIPLBI06,201,202,1,201.5,58.5,incub,0,1,2008,BI,1,1,1,31.1,9.7,10.3,2008,4
08PIPLHI01,116,117,1,116.5,5.5,lay,1,1,2008,HI,1,0,-31,22.2,0,4,2008,4
08PIPLHI01,117,119,2,118,7,incub,1,1,2008,HI,1,0,-31,22.2,0,5.8,2008,4
08PIPLHI01,119,126,7,122.5,11.5,incub,1,1,2008,HI,1,0,-31,20.6,4.8,9.8,2008,4
